The size of the reference string is 1000000

No. of page frames		No. of Page-faults		Execution Time(microseconds)
		1					989757						1295174
		2					979867						1297404
		3					969508						1297876
		4					959516						1301212
		5					949464						1302345
		6					939444						1305550
		7					929649						1308163
		8					919674						1309376
		9					909655						1323664
		10					899711						1323845
		11					889754						1324236
		12					879986						1324380
		13					869911						1326887
		14					860150						1322377
		15					849960						1319110
		16					840021						1320303
		17					829863						1317918
		18					819617						1318169
		19					809778						1317955
		20					799821						1317333
		21					790067						1316584
		22					779864						1313711
		23					770006						1316131
		24					760082						1322679
		25					749914						1313281
		26					739867						1330245
		27					729856						1318302
		28					719874						1322493
		29					709858						1305080
		30					699807						1308082
		31					689845						1300214
		32					679875						1300184
		33					670126						1296786
		34					660247						1294820
		35					650170						1290785
		36					640107						1289188
		37					629855						1284710
		38					619737						1285880
		39					609713						1280066
		40					600030						1276370
		41					589872						1271683
		42					580005						1268497
		43					570023						1264821
		44					559995						1262543
		45					550046						1256949
		46					540013						1252929
		47					530283						1250667
		48					520070						1244106
		49					510199						1243027
		50					500434						1237772
		51					490207						1238905
		52					480190						1239205
		53					470065						1235716
		54					459928						1238270
		55					450017						1213197
		56					439967						1217859
		57					429935						1214529
		58					420012						1205665
		59					410181						1194410
		60					399787						1189050
		61					389900						1177866
		62					379947						1169965
		63					370008						1174452
		64					359813						1158000
		65					350187						1151023
		66					340082						1145048
		67					330056						1137865
		68					320057						1131143
		69					310061						1126536
		70					299982						1139521
		71					290255						1121358
		72					280188						1132629
		73					270142						1124141
		74					260362						1101662
		75					250032						1076449
		76					240271						1068840
		77					230199						1064048
		78					220529						1053963
		79					210045						1044440
		80					200287						1035286
		81					190149						1027201
		82					180137						1017984
		83					170548						1009843
		84					159865						1001509
		85					150133						991384
		86					140221						984574
		87					130240						969939
		88					119985						960657
		89					109793						952707
		90					99980						940528
		91					90132						932898
		92					79903						922572
		93					69937						911197
		94					59895						906006
		95					49834						907894
		96					39855						877321
		97					29814						866669
		98					20084						855989
		99					9998						844488
		100					100						827449
		101					100						952198
		102					100						954554
		103					100						952553
		104					100						963765
		105					100						957624
		106					100						955763
		107					100						955567
		108					100						957207
		109					100						956344
		110					100						957087
